iter	Passed	Remaining
858	9883	1622
859	9891	1610
860	9899	1598
861	9907	1586
862	9915	1574
863	9924	1562
864	9932	1550
865	9941	1538
866	9950	1526
867	9957	1514
868	9965	1502
869	9973	1490
870	9981	1478
871	9989	1466
872	9997	1454
873	10004	1442
874	10011	1430
875	10018	1418
876	10026	1406
877	10033	1394
878	10040	1382
879	10047	1370
880	10054	1358
881	10063	1346
882	10070	1334
883	10078	1322
884	10085	1310
885	10093	1298
886	10101	1286
887	10108	1274
888	10116	1263
889	10124	1251
890	10132	1239
891	10140	1227
892	10148	1216
893	10158	1204
894	10167	1192
895	10175	1181
896	10184	1169
897	10192	1157
898	10199	1145
899	10206	1134
900	10214	1122
901	10222	1110
902	10229	1098
903	10236	1087
904	10244	1075
905	10251	1063
906	10258	1051
907	10266	1040
908	10274	1028
909	10281	1016
910	10289	1005
911	10297	993
912	10305	982
913	10313	970
914	10322	958
915	10329	947
916	10338	935
917	10345	924
918	10353	912
919	10362	901
920	10370	889
921	10378	878
922	10387	866
923	10394	854
924	10401	843
925	10408	831
926	10416	820
927	10423	808
928	10430	797
929	10437	785
930	10444	774
931	10452	762
932	10459	751
933	10465	739
934	10473	728
935	10479	716
936	10487	705
937	10496	693
938	10504	682
939	10512	670
940	10520	659
941	10527	648
942	10535	636
943	10544	625
944	10552	614
945	10560	602
946	10569	591
947	10577	580
948	10600	569
949	10607	558
950	10614	546
951	10621	535
952	10629	524
953	10636	512
954	10643	501
955	10650	490
956	10657	478
957	10664	467
958	10671	456
959	10678	444
960	10686	433
961	10693	422
962	10700	411
963	10709	399
964	10716	388
965	10724	377
966	10732	366
967	10740	355
968	10748	343
969	10756	332
970	10764	321
971	10772	310
972	10780	299
973	10787	287
974	10794	276
975	10801	265
976	10809	254
977	10815	243
978	10822	232
979	10829	221
980	10836	209
981	10843	198
982	10850	187
983	10857	176
984	10864	165
985	10871	154
986	10878	143
987	10886	132
988	10894	121
989	10902	110
990	10910	99
991	10920	88
992	10927	77
993	10936	66
994	10944	54
995	10952	43
996	10959	32
997	10967	21
998	10975	10
999	10982	0
