iter	Passed	Remaining
789	4969	1320
790	4974	1314
791	4980	1308
792	4987	1301
793	4993	1295
794	4998	1289
795	5005	1282
796	5011	1276
797	5016	1269
798	5023	1263
799	5028	1257
800	5034	1250
801	5040	1244
802	5046	1238
803	5052	1231
804	5058	1225
805	5064	1218
806	5070	1212
807	5076	1206
808	5081	1199
809	5087	1193
810	5094	1187
811	5099	1180
812	5105	1174
813	5111	1168
814	5117	1161
815	5123	1155
816	5130	1149
817	5136	1142
818	5142	1136
819	5148	1130
820	5154	1123
821	5161	1117
822	5167	1111
823	5173	1105
824	5179	1098
825	5185	1092
826	5191	1086
827	5197	1079
828	5203	1073
829	5209	1066
830	5215	1060
831	5222	1054
832	5229	1048
833	5236	1042
834	5243	1036
835	5248	1029
836	5255	1023
837	5260	1016
838	5266	1010
839	5272	1004
840	5277	997
841	5284	991
842	5289	985
843	5295	978
844	5301	972
845	5307	966
846	5313	959
847	5319	953
848	5325	947
849	5331	940
850	5336	934
851	5342	928
852	5348	921
853	5354	915
854	5361	909
855	5368	903
856	5375	896
857	5381	890
858	5388	884
859	5394	878
860	5400	871
861	5406	865
862	5412	859
863	5417	852
864	5424	846
865	5429	840
866	5436	833
867	5442	827
868	5448	821
869	5453	814
870	5459	808
871	5466	802
872	5472	796
873	5479	789
874	5484	783
875	5490	777
876	5496	770
877	5502	764
878	5508	758
879	5514	751
880	5520	745
881	5526	739
882	5532	733
883	5538	726
884	5543	720
885	5549	714
886	5555	707
887	5561	701
888	5566	695
889	5572	688
890	5578	682
891	5583	676
892	5589	669
893	5594	663
894	5600	657
895	5606	650
896	5612	644
897	5618	638
898	5624	631
899	5629	625
900	5635	619
901	5641	612
902	5647	606
903	5653	600
904	5659	594
905	5665	587
906	5671	581
907	5677	575
908	5683	568
909	5689	562
910	5695	556
911	5701	550
912	5706	543
913	5712	537
914	5719	531
915	5726	525
916	5732	518
917	5739	512
918	5745	506
919	5752	500
920	5758	493
921	5764	487
922	5770	481
923	5776	475
924	5781	468
925	5788	462
926	5794	456
927	5799	449
928	5806	443
929	5811	437
930	5818	431
931	5824	424
932	5830	418
933	5837	412
934	5843	406
935	5849	399
936	5856	393
937	5864	387
938	5870	381
939	5877	375
940	5883	368
941	5889	362
942	5896	356
943	5902	350
944	5908	343
945	5914	337
946	5920	331
947	5926	325
948	5932	318
949	5937	312
950	5943	306
951	5950	300
952	5956	293
953	5962	287
954	5967	281
955	5974	274
956	5979	268
957	5985	262
958	5991	256
959	5997	249
960	6003	243
961	6009	237
962	6014	231
963	6021	224
964	6026	218
965	6032	212
966	6037	206
967	6043	199
968	6050	193
969	6056	187
970	6062	181
971	6068	174
972	6074	168
973	6080	162
974	6086	156
975	6092	149
976	6098	143
977	6104	137
978	6110	131
979	6115	124
980	6121	118
981	6127	112
982	6133	106
983	6138	99
984	6144	93
985	6149	87
986	6156	81
987	6162	74
988	6167	68
989	6174	62
990	6180	56
991	6186	49
992	6192	43
993	6198	37
994	6205	31
995	6212	24
996	6218	18
997	6224	12
998	6229	6
999	6235	0
